schedule,min,1A,2A,2B,3A,3B,3C,4A,4B,4C,5A,5B,6A,6B,7A,8A,schedule,max,1A,2A,2B,3A,3B,3C,4A,4B,4C,5A,5B,6A,6B,7A,8A,schedule,default,1A,2A,2B,3A,3B,3C,4A,4B,4C,5A,5B,6A,6B,7A,8A
MediumOfficeHtgSetpDefault,MediumOfficeHtgSetpDefault,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,MediumOfficeHtgSetpDefault,MediumOfficeHtgSetpDefault,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,MediumOfficeHtgSetpDefault,MediumOfficeHtgSetpDefault,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MediumOfficeClgSetpDefault,MediumOfficeClgSetpDefault,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,MediumOfficeClgSetpDefault,MediumOfficeClgSetpDefault,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,MediumOfficeClgSetpDefault,MediumOfficeClgSetpDefault,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MediumOfficeBldgEquipDefault|WkdyDay,MediumOfficeBldgEquipDefault|WkdyDay,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,MediumOfficeBldgEquipDefault|WkdyDay,MediumOfficeBldgEquipDefault|WkdyDay,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,MediumOfficeBldgEquipDefault|WkdyDay,MediumOfficeBldgEquipDefault|WkdyDay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MediumOfficeBldgOccDefault|WkdyDay,MediumOfficeBldgOccDefault|WkdyDay,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,MediumOfficeBldgOccDefault|WkdyDay,MediumOfficeBldgOccDefault|WkdyDay,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,MediumOfficeBldgOccDefault|WkdyDay,MediumOfficeBldgOccDefault|WkdyDay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MediumOfficeBldgSwhDefault,MediumOfficeBldgSwhDefault,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,MediumOfficeBldgSwhDefault,MediumOfficeBldgSwhDefault,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,MediumOfficeBldgSwhDefault,MediumOfficeBldgSwhDefault,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OfficeBldgLightDefault,OfficeBldgLightDefault,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,OfficeBldgLightDefault,OfficeBldgLightDefault,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,OfficeBldgLightDefault,OfficeBldgLightDefault,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
